student_id,student_age,student_level,student_suburb,signup_date,tutor_id,tutor_experience_years,tutor_rating,tutor_suburb,tutor_subject_specialty,tutor_hourly_rate,session_id,subject,session_date,session_duration_hours,session_mode,session_price,booking_lead_time_days,session_status,student_rating_given,repeat_student,discount_applied
S2309,7,Primary,Castle Hill,2022-08-16,T314,6,4.2,Mascot,Math,55.24,SESS0,Math,2023-07-29,3.0,Online,178.34,11,Cancelled,,Yes,5
S2034,41,Adult Learner,Bondi,2023-08-10,T227,4,4.2,Maroubra,Coding,75.9,SESS1,Coding,2024-03-27,2.0,In-person,157.62,9,Completed,4.0,No,15
S1569,19,University,Rose Bay,2023-01-15,T359,6,4.1,Campbelltown,Math,49.67,SESS2,Math,2023-07-18,2.0,Online,100.54,13,Completed,2.0,Yes,0
S2992,11,Primary,North Sydney,2023-02-02,T587,0,4.0,Kingsford,Physics,44.94,SESS3,Physics,2024-01-29,1.5,Online,68.47,1,Completed,3.0,No,0
S2774,30,Adult Learner,Ryde,2024-07-30,T303,0,5.0,Kingsford,Business,53.87,SESS4,Business,2025-01-28,1.0,Online,54.05,3,Completed,3.0,No,25
S2093,16,High School,Manly,2023-04-09,T450,3,4.4,Newtown,Business,55.25,SESS5,Business,2024-03-25,3.0,In-person,168.86,5,Cancelled,3.0,Yes,10
S1548,19,University,Kingsford,2023-04-10,T267,4,4.0,Paddington,Business,72.26,SESS6,Business,2024-03-11,1.5,In-person,108.32,7,Completed,3.0,No,0
S1285,53,Adult Learner,Lane Cove,2024-09-23,T452,7,3.7,Surry Hills,Coding,75.04,SESS7,Coding,2025-03-28,2.0,Online,135.37,3,No-show,,No,0
S2763,15,High School,Leichhardt,2024-08-15,T312,1,4.4,Double Bay,English,40.69,SESS8,English,2025-02-27,0.5,Online,20.52,9,No-show,4.0,No,0
S2393,49,Adult Learner,Darlinghurst,2023-03-19,T317,4,3.6,Newtown,Coding,64.4,SESS9,Coding,2023-08-17,1.5,In-person,94.38,6,Completed,,No,0
S2990,54,Adult Learner,Burwood,2024-12-28,T712,8,4.5,Randwick,Business,62.18,SESS10,Business,2025-11-05,1.5,Online,94.78,3,Completed,4.0,Yes,0
S2226,37,Adult Learner,Parramatta,2024-04-05,T531,2,4.6,Lane Cove,Business,64.15,SESS11,Business,2024-05-05,1.5,Online,100.71,3,Cancelled,3.0,Yes,0
S2557,55,Adult Learner,Sydney CBD,2023-07-22,T745,4,4.5,Rose Bay,Physics,62.88,SESS12,Physics,2023-12-05,2.5,Online,153.43,8,Cancelled,4.0,Yes,0
S2460,31,Adult Learner,Mosman,2025-05-12,T519,1,3.7,Maroubra,Physics,56.06,SESS13,Physics,2025-07-13,2.5,Online,149.65,3,Completed,4.0,No,0
S2205,6,Primary,Blacktown,2022-09-17,T425,8,4.5,Kingsford,Math,52.77,SESS14,Math,2023-03-06,0.5,In-person,26.86,1,Completed,5.0,Yes,0
S1497,57,Adult Learner,Mascot,2024-05-23,T684,4,5.0,Randwick,Math,34.9,SESS15,Math,2024-12-26,2.0,Online,72.67,6,Completed,4.0,No,0
S1124,52,Adult Learner,Strathfield,2025-04-26,T612,4,4.3,Randwick,English,33.06,SESS16,English,2025-07-07,1.0,Online,32.7,6,Completed,4.0,No,30
S1103,59,Adult Learner,Parramatta,2023-05-12,T753,9,4.0,Bondi,Business,68.96,SESS17,Business,2023-12-07,1.0,Online,67.23,7,Completed,5.0,No,0
S1776,30,Adult Learner,Penrith,2025-07-05,T202,5,4.0,Bondi Junction,English,47.57,SESS18,English,2025-09-23,3.0,Online,143.4,3,Completed,5.0,No,0
S2531,9,Primary,Parramatta,2023-10-20,T521,2,4.1,Fairfield,English,37.04,SESS19,English,2023-11-19,2.5,Online,85.82,8,Completed,,Yes,0
S1826,42,Adult Learner,Liverpool,2024-06-05,T322,5,4.4,Ultimo,Math,50.03,SESS20,Math,2025-05-08,0.5,In-person,24.72,9,Completed,3.0,Yes,0
S1488,31,Adult Learner,Sydney CBD,2023-05-24,T471,3,4.1,Maroubra,English,36.99,SESS21,English,2023-05-29,1.5,In-person,55.04,7,Completed,4.0,Yes,0
S1271,10,Primary,Darlinghurst,2023-11-02,T557,10,4.4,Lane Cove,English,56.29,SESS22,English,2024-09-11,2.0,Online,112.16,12,Completed,,No,25
S2922,22,University,Sydney CBD,2024-02-17,T337,0,4.3,Randwick,Coding,60.3,SESS23,Coding,2024-07-11,1.0,In-person,67.73,9,Completed,4.0,No,0
S1514,11,Primary,Leichhardt,2022-11-02,T252,5,4.3,Newtown,Math,44.16,SESS24,Math,2023-09-25,1.5,Online,70.03,4,Completed,5.0,No,0
S1154,40,Adult Learner,Parramatta,2025-03-25,T352,7,3.8,Lane Cove,Chemistry,71.01,SESS25,Chemistry,2025-05-30,1.0,Online,66.03,0,Completed,5.0,No,0
